day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,windspeed,rainfall
1.0,1025.9,19.9,18.3,16.8,13.1,72.0,49.0,26.3,15.7
2.0,1022.0,21.7,18.9,17.2,15.6,81.0,83.0,15.3,23.6
3.0,1019.7,20.3,19.3,18.0,18.4,95.0,91.0,14.2,30.9
4.0,1018.9,22.3,20.6,19.1,18.8,90.0,88.0,16.9,28.6
5.0,1015.9,21.3,20.7,20.2,19.9,95.0,81.0,13.7,32.4
6.0,1018.8,24.3,20.9,19.2,18.0,84.0,51.0,14.5,23.4
7.0,1021.8,21.4,18.8,17.0,15.0,79.0,56.0,21.5,2.0
8.0,1020.8,21.0,18.4,16.5,14.4,78.0,28.0,14.3,1.8
9.0,1020.6,18.9,18.1,17.1,14.3,78.0,79.0,39.3,2.3
10.0,1017.5,18.5,18.0,17.2,15.5,85.0,91.0,37.7,28.1
11.0,1016.5,20.4,18.1,16.5,16.4,90.0,90.0,23.3,30.0
12.0,1019.9,18.5,17.3,16.1,13.7,79.0,86.0,23.9,2.4
13.0,1020.8,18.7,16.1,14.2,12.1,77.0,34.0,24.4,1.8
14.0,1019.3,17.5,16.5,15.6,12.9,79.0,81.0,33.2,24.2
15.0,1015.4,16.1,15.1,14.5,14.6,97.0,97.0,37.5,33.6
16.0,1013.5,17.1,16.4,15.5,15.6,95.0,93.0,40.0,33.5
17.0,1011.5,20.6,17.8,14.8,16.1,90.0,79.0,23.4,31.4
18.0,1017.1,17.8,15.2,11.9,11.1,76.0,49.0,28.4,2.1
19.0,1020.1,17.6,16.4,15.3,12.5,78.0,84.0,38.0,2.4
20.0,1019.6,16.8,15.5,14.8,13.9,90.0,92.0,50.6,28.8
21.0,1017.7,17.1,16.1,15.1,15.3,95.0,100.0,26.2,32.1
22.0,1018.9,16.2,14.1,10.3,12.9,92.0,100.0,35.3,30.7
23.0,1027.1,10.4,8.5,7.0,3.4,70.0,95.0,55.5,20.0
24.0,1034.6,7.1,4.9,3.1,2.2,61.0,96.0,59.5,21.1
25.0,1032.6,10.8,7.4,4.3,3.7,46.0,25.0,28.7,1.1
26.0,1027.1,13.5,10.4,8.1,2.5,59.0,85.0,21.3,17.4
27.0,1022.7,15.3,13.0,9.8,11.6,92.0,95.0,29.6,28.0
28.0,1018.2,17.4,16.1,14.8,15.7,98.0,100.0,28.8,32.7
29.0,1017.9,17.4,16.6,15.9,15.9,96.0,91.0,25.0,31.4
30.0,1020.0,19.9,17.6,16.2,15.5,88.0,80.0,21.2,2.7
31.0,1019.9,16.2,15.7,15.3,13.4,86.0,93.0,43.1,27.5
1.0,1022.2,15.6,12.4,10.7,11.2,93.0,96.0,31.9,28.7
2.0,1024.4,11.2,10.4,9.4,6.8,79.0,94.0,27.3,22.9
3.0,1023.6,14.3,12.5,10.3,8.6,77.0,88.0,21.3,22.1
4.0,1021.8,18.8,15.2,13.3,10.9,76.0,45.0,9.1,2.2
5.0,1021.2,18.6,14.8,12.3,8.4,66.0,18.0,24.4,1.4
6.0,1024.9,17.4,13.6,11.2,0.3,39.0,13.0,44.7,0.7
7.0,1026.1,18.1,13.7,9.9,1.7,36.0,2.0,20.5,0.6
8.0,1023.9,19.6,14.8,11.6,4.3,52.0,0.0,16.7,0.8
9.0,1020.8,21.2,16.7,12.7,7.2,54.0,29.0,17.2,1.3
10.0,1017.5,17.3,16.6,15.3,9.8,64.0,77.0,22.0,21.1
11.0,1014.9,22.4,18.8,17.2,16.4,86.0,80.0,15.8,28.6
12.0,1013.4,21.6,19.2,17.6,18.5,95.0,86.0,13.9,34.1
13.0,1012.5,25.9,23.1,21.3,21.1,89.0,76.0,10.2,3.5
14.0,1014.8,24.6,21.7,17.4,18.1,81.0,82.0,15.3,26.9
15.0,1024.3,17.5,13.2,11.4,6.6,64.0,88.0,33.5,18.8
16.0,1025.4,15.1,12.8,10.9,6.0,63.0,89.0,23.5,1.8
17.0,1024.1,14.4,12.9,11.6,8.9,77.0,91.0,19.2,22.1
18.0,1021.9,15.0,13.7,11.7,11.8,89.0,95.0,18.6,27.5
19.0,1020.3,16.3,15.3,14.6,13.3,88.0,94.0,22.2,28.0
20.0,1023.2,20.1,16.0,12.5,9.6,67.0,55.0,23.9,16.4
21.0,1022.2,15.9,15.0,14.7,11.0,77.0,82.0,44.7,22.1
22.0,1020.6,17.6,16.1,14.6,14.7,91.0,88.0,24.4,28.2
23.0,1022.3,16.7,15.5,13.7,14.3,92.0,88.0,19.3,27.8
24.0,1027.5,15.5,13.7,12.3,10.0,78.0,88.0,28.0,21.8
25.0,1028.9,16.8,14.8,13.5,10.5,76.0,87.0,20.4,2.1
26.0,1027.4,17.6,15.2,14.0,11.6,79.0,88.0,15.2,22.1
27.0,1024.7,17.5,15.5,13.8,11.7,79.0,79.0,9.1,25.2
28.0,1023.8,20.9,16.6,13.3,11.5,72.0,49.0,9.2,2.1
29.0,1024.4,24.8,18.5,14.4,10.1,61.0,19.0,16.9,1.1
1.0,1024.7,19.7,16.5,14.6,11.5,73.0,43.0,34.2,1.5
2.0,1023.8,20.6,16.6,14.4,11.4,72.0,32.0,27.1,1.5
3.0,1020.9,23.8,18.7,15.4,14.0,75.0,46.0,14.7,1.9
4.0,1018.1,23.2,20.2,18.1,16.9,82.0,71.0,15.4,2.5
5.0,1016.7,23.1,20.8,19.2,16.9,79.0,83.0,13.3,27.1
6.0,1015.8,25.9,21.8,19.2,18.0,79.0,72.0,6.6,2.6
7.0,1014.9,21.3,19.7,18.9,18.2,91.0,76.0,13.8,31.0
8.0,1012.5,21.5,20.1,18.9,18.9,93.0,88.0,15.3,3.3
9.0,1012.5,22.9,20.8,17.1,19.9,95.0,88.0,15.1,33.4
10.0,1019.5,17.2,13.4,10.0,12.2,93.0,93.0,39.7,29.8
11.0,1022.6,14.3,11.9,10.0,8.0,77.0,93.0,25.0,23.1
12.0,1017.7,14.5,13.6,12.7,11.4,87.0,100.0,36.0,29.5
13.0,1014.5,17.0,15.8,14.4,15.1,96.0,99.0,22.8,33.8
14.0,1018.0,16.5,15.3,14.2,12.4,83.0,89.0,26.7,27.0
15.0,1017.1,15.5,14.8,14.0,11.1,79.0,94.0,38.0,26.5
16.0,1015.0,16.3,15.3,14.1,13.6,90.0,100.0,33.2,31.8
17.0,1014.3,17.4,16.5,15.6,16.0,97.0,97.0,26.5,34.1
18.0,1012.0,21.9,19.5,17.2,19.0,97.0,92.0,13.1,36.6
